FECHA,COD_DIA VISITA,DIA VISITA,COD SEMANAL,SEMANAL,COD QUINCENAL,QUINCENAL ,COD MENSUAL,MENSUAL
7/8/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
8/8/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
9/8/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
10/8/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
11/8/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
12/8/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
13/08/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
14/08/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
15/08/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
16/08/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
17/08/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
18/08/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
19/08/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
20/08/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
21/08/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
22/08/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
23/08/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
24/08/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
25/08/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
26/08/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
27/08/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
28/08/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
29/08/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
30/08/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
